! XYN file created by WinPLOTR
! Initial file:   C:\Users\DreadLappy\Downloads\NaCl-SOD_Synthese6_INSTRM0.dat
! Initial format:   2
! WAVE (A):      1.54060     1.54060     1.00000
! X_data : 2 Theta (deg.)
! Y_data : Intensity (arb. units)
!--------------------------------------------------------------------------------
!            X_1 NaCl-SOD_Synthe
5.00000        99.00000
5.02133        81.00000
5.04266        82.00000
5.06398        79.00000
5.08531        98.00000
5.10664        84.00000
5.12797        71.00000
5.14930        91.00000
5.17062        77.00000
5.19195        72.00000
5.21328        80.00000
5.23461        82.00000
5.25594        95.00000
5.27726        91.00000
5.29859        70.00000
5.31992        82.00000
5.34125        76.00000
5.36258        84.00000
5.38390        70.00000
5.40523        90.00000
5.42656        93.00000
5.44789        78.00000
5.46922        66.00000
5.49054        81.00000
5.51187        69.00000
5.53320        74.00000
5.55453        64.00000
5.57586        79.00000
5.59718        78.00000
5.61851        67.00000
5.63984        68.00000
5.66117        70.00000
5.68250        68.00000
5.70382        62.00000
5.72515        65.00000
5.74648        69.00000
5.76781        63.00000
5.78914        84.00000
5.81046        66.00000
5.83179        59.00000
5.85312        62.00000
5.87445        65.00000
5.89578        76.00000
5.91710        71.00000
5.93843        62.00000
5.95976        54.00000
5.98109        66.00000
6.00242        66.00000
6.02374        80.00000
6.04507        76.00000
6.06640        71.00000
6.08773        63.00000
6.10906        73.00000
6.13038        69.00000
6.15171        53.00000
6.17304        62.00000
6.19437        60.00000
6.21570        65.00000
6.23702        67.00000
6.25835        57.00000
6.27968        52.00000
6.30101        61.00000
6.32234        57.00000
6.34366        61.00000
6.36499        55.00000
6.38632        53.00000
6.40765        56.00000
6.42898        53.00000
6.45030        51.00000
6.47163        51.00000
6.49296        64.00000
6.51429        54.00000
6.53562        44.00000
6.55694        39.00000
6.57827        69.00000
6.59960        61.00000
6.62093        65.00000
6.64226        52.00000
6.66358        55.00000
6.68491        57.00000
6.70624        50.00000
6.72757        65.00000
6.74890        51.00000
6.77022        52.00000
6.79155        63.00000
6.81288        53.00000
6.83421        38.00000
6.85554        61.00000
6.87686        53.00000
6.89819        57.00000
6.91952        61.00000
6.94085        46.00000
6.96218        47.00000
6.98350        50.00000
7.00483        50.00000
7.02616        48.00000
7.04749        49.00000
7.06882        63.00000
7.09014        57.00000
7.11147        48.00000
7.13280        56.00000
7.15413        51.00000
7.17546        35.00000
7.19678        59.00000
7.21811        55.00000
7.23944        55.00000
7.26077        61.00000
7.28210        48.00000
7.30342        55.00000
7.32475        55.00000
7.34608        48.00000
7.36741        46.00000
7.38874        60.00000
7.41006        53.00000
7.43139        46.00000
7.45272        41.00000
7.47405        47.00000
7.49538        53.00000
7.51670        57.00000
7.53803        51.00000
7.55936        44.00000
7.58069        49.00000
7.60202        43.00000
7.62334        48.00000
7.64467        48.00000
7.66600        55.00000
7.68733        48.00000
7.70866        47.00000
7.72998        46.00000
7.75131        50.00000
7.77264        49.00000
7.79397        40.00000
7.81530        45.00000
7.83662        48.00000
7.85795        47.00000
7.87928        49.00000
7.90061        53.00000
7.92194        47.00000
7.94326        51.00000
7.96459        52.00000
7.98592        50.00000
8.00725        50.00000
8.02858        39.00000
8.04990        45.00000
8.07123        35.00000
8.09256        43.00000
8.11389        56.00000
8.13522        46.00000
8.15654        53.00000
8.17787        40.00000
8.19920        30.00000
8.22053        51.00000
8.24186        47.00000
8.26318        51.00000
8.28451        38.00000
8.30584        50.00000
8.32717        43.00000
8.34850        45.00000
8.36982        39.00000
8.39115        38.00000
8.41248        41.00000
8.43381        48.00000
8.45514        42.00000
8.47646        46.00000
8.49779        46.00000
8.51912        43.00000
8.54045        46.00000
8.56178        47.00000
8.58310        38.00000
8.60443        43.00000
8.62576        47.00000
8.64709        44.00000
8.66842        45.00000
8.68974        43.00000
8.71107        43.00000
8.73240        32.00000
8.75373        39.00000
8.77506        42.00000
8.79638        40.00000
8.81771        30.00000
8.83904        37.00000
8.86037        48.00000
8.88170        41.00000
8.90302        43.00000
8.92435        44.00000
8.94568        39.00000
8.96701        40.00000
8.98834        54.00000
9.00966        45.00000
9.03099        45.00000
9.05232        49.00000
9.07365        39.00000
9.09498        37.00000
9.11630        34.00000
9.13763        56.00000
9.15896        49.00000
9.18029        41.00000
9.20162        40.00000
9.22294        44.00000
9.24427        46.00000
9.26560        44.00000
9.28693        40.00000
9.30826        44.00000
9.32958        45.00000
9.35091        34.00000
9.37224        36.00000
9.39357        48.00000
9.41490        29.00000
9.43622        37.00000
9.45755        55.00000
9.47888        44.00000
9.50021        40.00000
9.52154        32.00000
9.54286        48.00000
9.56419        30.00000
9.58552        31.00000
9.60685        43.00000
9.62818        37.00000
9.64950        49.00000
9.67083        42.00000
9.69216        32.00000
9.71349        33.00000
9.73482        25.00000
9.75614        42.00000
9.77747        36.00000
9.79880        41.00000
